RCI 152.54.14.10
timestamp	iget runtime	scp runtime	bbcp runtime
2014-05-21 13:43:06	201.556	110.159	101.604
2014-05-21 14:06:47	45.77	74.304	100.897
2014-05-21 14:34:33	39.414	55.867	69.833
2014-05-21 15:07:18	56.573	66.508	41.542
2014-05-21 15:44:42	70.334	49.584	23.799
2014-05-21 16:27:47	105.404	58.301	20.369
2014-05-21 17:15:27	57.174	75.532	26.567
2014-05-21 18:08:22	77.748	64.644	32.774
2014-05-21 19:05:57	56.491	77.409	19.937
2014-05-21 20:08:17	53.451	68.585	17.729
2014-05-21 21:15:42	58.313	65.706	20.271
2014-05-21 22:28:09	55.362	73.464	17.633
2014-05-21 23:45:29	50.565	62.414	26.22
2014-05-22 01:07:52	57.033	67.432	17.936
2014-05-22 02:35:58	68.993	97.243	18.938
2014-05-22 04:08:25	78.297	50.277	18.142
2014-05-22 05:46:17	80.651	51.698	39.591
2014-05-22 07:29:13	66.246	66.465	42.279
SL 165.124.159.7
timestamp	iget runtime	scp runtime	bbcp runtime
2014-05-21 13:05:59	71.891	84.609	97.03
2014-05-21 13:20:41	161.325	98.428	21.909
2014-05-21 13:42:51	218.862	181.555	29.613
2014-05-21 14:07:09	82.561	86.391	88.39
2014-05-21 14:35:01	61.557	72.379	37.672
2014-05-21 15:07:47	53.564	71.14	40.33
2014-05-21 15:45:32	53.635	69.153	41.79
2014-05-21 16:29:03	55.247	65.967	88.895
2014-05-21 17:16:33	56.327	66.203	27.187
2014-05-21 18:09:39	57.656	65.932	61.834
2014-05-21 19:07:04	55.229	64.745	24.773
2014-05-21 20:09:43	56.827	69.229	32.507
2014-05-21 21:17:09	55.781	66.551	22.835
2014-05-21 22:29:33	53.486	66.483	23.702
2014-05-21 23:46:58	53.954	68.045	22.457
2014-05-22 01:09:25	55.661	66.758	23.901
2014-05-22 02:36:53	54.173	70.246	23.372
2014-05-22 04:09:30	54.158	71.43	30.998
2014-05-22 05:46:59	55.856	66.329	25.557
2014-05-22 07:29:31	54.648	68.835	27.803
DUKE 152.3.144.101
timestamp	iget runtime	scp runtime	bbcp runtime
2014-05-21 13:33:36	56.135	130.862	41.073
2014-05-21 13:45:27	36.366	53.623	20.571
2014-05-21 14:04:51	23.766	206.403	32.124
2014-05-21 14:26:58	32.591	77.533	16.436
2014-05-21 14:53:35	28.482	50.846	17.246
2014-05-21 15:25:16	27.602	50.58	21.497
2014-05-21 16:02:36	30.888	80.396	27.994
2014-05-21 16:45:35	27.671	111.527	39.044
2014-05-21 17:32:27	29.237	52.544	29.631
2014-05-21 18:24:03	24.069	46.391	24.808
2014-05-21 19:20:39	23.012	47.131	24.986
2014-05-21 20:22:24	24.824	52.486	26.23
2014-05-21 21:29:05	28.801	53.689	17.956
2014-05-21 22:40:50	31.132	42.692	30.036
2014-05-21 23:58:15	42.623	65.514	36.333
2014-05-22 01:21:36	42.164	135.205	22.645
2014-05-22 02:49:24	21.292	129.592	16.522
2014-05-22 04:22:56	21.756	170.893	18.069
2014-05-22 06:00:40	25.886	120.138	17.512
2014-05-22 07:43:15	23.982	105.421	24.398
BBN 192.1.242.9
timestamp	iget runtime	scp runtime	bbcp runtime
2014-05-21 13:54:15	851.174	1764.93	886.529
2014-05-21 14:50:30	791.515	935.489	1047.42
2014-05-21 15:47:57	764.459	892.223	889.127
2014-05-21 17:02:41	873.019	1538.43	872.361
2014-05-21 18:11:38	764.31	904.784	967.557
2014-05-21 19:23:43	759.196	926.91	838.078
2014-05-21 20:43:51	804.314	941.927	960.932
2014-05-21 22:06:39	781.38	888.155	898.616
2014-05-21 23:34:13	762.301	966.219	825.109
2014-05-22 01:15:41	815.17	884.617	1387.26
2014-05-22 02:52:47	764.023	927.058	834.833
2014-05-22 04:38:10	809.073	992.013	921.238
2014-05-22 06:27:21	793.765	926.616	929.422
2014-05-22 08:20:44	778.344	913.279	911.313
2014-05-22 10:18:32	791.367	907.407	869.191
2014-05-22 12:20:30	766.593	914.101	836.464
2014-05-22 14:38:55	795.062	1576.4	833.085
2014-05-22 16:53:58	813.717	964.559	923.776
2014-05-22 19:11:39	790.346	890.606	879.928
2014-05-22 21:38:47	828.62	898.305	1100.71
FIU 131.94.144.23
timestamp	iget runtime	scp runtime	bbcp runtime
2014-05-21 12:59:15	60.456	62.164	29.878
2014-05-21 13:11:59	77.298	65.539	20.574
2014-05-21 13:29:42	48.271	93.311	20.625
2014-05-21 13:53:30	55.509	122.585	49.546
2014-05-21 14:23:53	94.807	167.451	60.103
2014-05-21 14:56:43	66.467	75.184	28.101
2014-05-21 15:34:43	69.801	79.968	29.375
2014-05-21 16:17:05	49.631	62.454	29.249
2014-05-21 17:04:48	54.296	74.046	34.581
2014-05-21 17:57:36	49.059	91.303	27.223
2014-05-21 18:55:21	48.358	66.321	48.9
2014-05-21 19:58:12	48.158	102.259	20.399
2014-05-21 21:06:00	55.56	64.505	47.03
2014-05-21 22:18:11	46.733	64.725	19.744
2014-05-21 23:35:20	46.598	63.633	18.156
2014-05-22 00:57:32	46.899	65.272	18.782
2014-05-22 02:25:06	53.375	69.322	30.566
2014-05-22 03:57:18	48.019	65.854	17.85
2014-05-22 05:34:29	46.798	63.405	20.631
2014-05-22 07:16:42	46.733	63.943	21.831
RCI-RBUDP 152.54.14.9
timestamp	iget runtime	scp runtime	bbcp runtime
2014-05-21 13:11:07	18.069	39.506	27.074
2014-05-21 13:23:51	21.85	99.21	42.377
2014-05-21 13:41:43	18.185	117.938	34.87
2014-05-21 14:04:49	19.954	121.803	43.703
2014-05-21 14:31:09	15.967	40.795	22.827
2014-05-21 15:02:24	14.024	36.47	23.912
2014-05-21 15:38:46	14.258	38.79	28.374
2014-05-21 16:20:05	14.16	38.06	25.955
2014-05-21 17:06:14	14.068	37.781	16.931
2014-05-21 17:57:32	16.21	40.917	20.521
2014-05-21 18:54:00	17.43	47.633	22.203
2014-05-21 19:55:24	17.751	41.481	23.867
2014-05-21 21:01:49	17.873	43.929	23.252
2014-05-21 22:13:16	15.416	50.884	19.953
2014-05-21 23:29:45	14.142	52.829	21.605
2014-05-22 00:51:05	13.856	41.386	24.037
2014-05-22 02:17:20	14.377	37.25	22.654
2014-05-22 03:49:12	23.157	49.169	39.603
2014-05-22 05:25:26	13.816	37.27	22.429
2014-05-22 07:06:42	13.822	38.75	22.866
OSF-RBUDP 198.129.50.14
timestamp	iget runtime	scp runtime	bbcp runtime
2014-05-21 13:27:00	21.682	225.12	119.936
2014-05-21 13:45:18	22.881	300.642	173.936
2014-05-21 14:07:33	22.393	247.432	164.581
2014-05-21 14:32:23	15.318	225.031	49.883
2014-05-21 15:01:22	15.664	190.743	31.212
2014-05-21 15:35:57	20.996	182.402	71.826
2014-05-21 16:15:12	16.246	205.495	32.702
2014-05-21 16:59:13	15.546	181.617	43.345
2014-05-21 17:48:08	15.812	182.061	36.669
2014-05-21 18:42:23	15.989	182.093	55.915
2014-05-21 19:41:53	20.705	188.372	60.106
2014-05-21 20:46:07	14.778	203.266	35.51
2014-05-21 21:55:39	18.289	186.554	66.9
2014-05-21 23:10:06	17.45	218.857	29.942
2014-05-22 00:29:26	16.422	201.949	41.176
2014-05-22 01:53:28	16.689	186.177	39.272
2014-05-22 03:22:35	15.956	182.446	47.538
2014-05-22 04:56:32	19.853	179.445	37.362
2014-05-22 06:35:56	19.192	181.082	62.672
2014-05-22 08:19:53	16.567	180.942	39.527
UCD-RBUDP 128.120.83.14
timestamp	iget runtime	scp runtime	bbcp runtime
2014-05-21 14:09:16	2219.37	232.377	384.695
2014-05-21 15:29:27	3809.87	186.715	213.524
